cluster_id,class_auto,subtype_auto,neuropeptide_auto,top_enriched_genes,top_regions,top_dissections
366,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC UBL VGF proSAAS,"EBF2, EBF3, EBF1, KLHL1, SHOX2, AC007656.2, TFAP2D, RMST, SLC17A6, NCAPG","Midbrain: 57.4%, Pons: 19.9%, Thalamus: 15.2%","Human PAG: 17.9%, Human PTR: 12.3%, Human ETH: 9.4%"
367,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC UBL VGF proSAAS,"LHX9, TFAP2D, TAC1, SAMD11, POU4F1, FAM9B, BARHL1, AC092114.1, SLC17A6, LINC01568","Midbrain: 96.9%, Thalamus: 2.6%, Pons: 0.3%","Human SC: 38.5%, Human IC: 29.3%, Human PAG: 15.2%"
368,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC UBL VGF proSAAS,"EBF3, TFAP2B, TFAP2D, LHX9, BNC2, EBF1, EBF2, ONECUT1, KLHL1, SCN7A","Midbrain: 84.5%, Thalamus: 13.4%, Pons: 1.5%","Human PTR: 24.0%, Human PAG: 18.1%, Human IC: 15.7%"
369,NEUR,,CBLN CCK CHGA CHGB NAMPT NTS NUCB NXPH SCG TAC UBL VGF proSAAS,"TFAP2B, FOXB1, LHX9, TFAP2D, SHOX2, NTS, EBF3, FAM9B, LEF1, AC074237.1","Midbrain: 96.5%, Thalamus: 2.3%, Pons: 0.6%","Human PTR: 42.2%, Human SC: 39.6%, Human IC: 6.3%"
370,NEUR,,ADCYAP CCK CHGA CHGB NAMPT NUCB NXPH PENK SCG TAC UBL proSAAS,"EBF2, TFAP2B, EBF3, EBF1, LHX9, POU4F1, HSPD1P8, LEF1, TFAP2D, LGR5","Midbrain: 98.8%, Pons: 0.5%, Thalamus: 0.5%","Human SC: 76.1%, Human IC: 11.3%, Human PTR: 7.9%"
371,NEUR,,ADCYAP CART CCK CHGA CHGB CRH NAMPT NTS NUCB NXPH SCG UBL VGF proSAAS,"CPA6, BNC2, NPSR1, EBF2, PGM5, OTOS, SHISAL2B, EBF1, LEF1, TAGLN2","Midbrain: 99.7%, Cerebellum: 0.3%, Cerebral cortex: 0.0%","Human SC: 93.5%, Human IC: 6.0%, Human PAG-DR: 0.3%"
372,NEUR,,ADCYAP CALCB CART CBLN CCK CHGA CHGB CRH IGF NAMPT NMB NPB NUCB NXPH PTHLH SCG UBL VGF proSAAS,"PTH2, FAM9B, CALCA, CALCB, GBX2, AC019068.1, AC012535.1, LINC01568, LHX9, CALB2","Midbrain: 53.2%, Thalamus: 44.2%, Cerebral cortex: 2.5%","Human PTR: 40.8%, Human MG: 22.6%, Human SN-RN: 10.0%"
373,NEUR,,ADCYAP CART CBLN CCK CHGA CHGB NAMPT NMB NPB NUCB NXPH PTH SCG TAC UBL VGF proSAAS,"PTH2, SHOX2, LHX9, FAM230I, SAMD11, VWA5B1, CALB2, NPB, LINC01920, AC074237.1","Midbrain: 61.4%, Thalamus: 36.6%, Amygdala: 0.7%","Human PTR: 32.8%, Human MG: 13.0%, Human SN-RN: 9.9%"
374,NEUR,,ADCYAP CALCB CBLN CCK CHGA CHGB NAMPT NMB NPB NUCB NXPH SCG UBL VGF proSAAS,"LMX1A, TFAP2B, LMX1B, CALCB, CALCA, EBF2, AC007614.1, ONECUT1, BNC2, CBLN1","Pons: 77.9%, Midbrain: 19.6%, Medulla: 2.0%","Human PB: 67.0%, Human PTR: 16.2%, Human DTg: 8.6%"
375,NEUR,,ADCYAP CBLN CCK CHGA CHGB CRH NAMPT NUCB SCG UBL VGF proSAAS,"GPR151, POU4F1, MMRN1, DLK1, LHX9, LRRC55, LINC01497, EBF1, LINC01876, ONECUT1","Thalamus: 94.3%, Midbrain: 5.4%, Pons: 0.1%","Human ETH: 77.2%, Human MD-Re: 14.9%, Human PAG-DR: 3.3%"
376,NEUR,,ADCYAP AVP CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC TRH UBL VGF proSAAS,"TRH, LMX1A, SIM1, OTP, MIR217HG, FEZF1-AS1, ONECUT1, DLK1, PITX2, ONECUT3","Hypothalamus: 51.0%, Midbrain: 37.9%, Thalamus: 6.6%","Human SN-RN: 18.1%, Human HTHma: 17.5%, Human HTHso-HTHtub: 14.7%"
377,NEUR,,ADCYAP AVP CBLN CHGA CHGB NAMPT NUCB NXPH SCG TRH UBL VGF proSAAS,"MIR217HG, AGTR1, ARHGAP36, DLK1, ONECUT3, LHX5-AS1, C14orf39, TFPI, CALCR, ONECUT1","Hypothalamus: 33.0%, Amygdala: 32.4%, Thalamus: 31.4%","Human BNST: 32.1%, Human ANC: 30.6%, Human HTHpo: 14.3%"
378,NEUR,,CBLN CHGA CHGB NAMPT NUCB NXPH SCG UBL proSAAS,"ONECUT3, C14orf39, ONECUT1, MIR217HG, ISL1, VWA5B1, AC022433.1, AC092957.1, COL15A1, AC010478.1","Amygdala: 29.4%, Basal forebrain: 25.2%, Hypothalamus: 22.3%","Human BNST: 27.8%, Human ANC: 18.1%, Human SEP: 16.8%"
379,NEUR,,CBLN CHGA CHGB NAMPT NUCB NXPH SCG SST UBL VGF proSAAS,"OTP, SLC6A5, EBF2, GLI2, MAB21L2, EBF1, GPR101, AC022034.3, HEPACAM2, NPBWR1","Pons: 99.2%, Medulla: 0.8%, Cerebral cortex: 0.0%","Human PnEN: 45.0%, Human DTg: 31.7%, Human PnRF: 17.5%"
380,NEUR,,CHGA CHGB NAMPT NUCB NXPH PENK PNOC SCG SST UBL VGF proSAAS,"SLC6A5, PAX2, EBF3, OTP, TFAP2A, HOXB3, LINC01297, LBX1-AS1, LHX5-AS1, EBF2","Pons: 62.5%, Medulla: 34.7%, Spinal cord: 1.1%","Human PnEN: 23.4%, Human MoRF-MoEN: 17.0%, Human PB: 15.8%"
381,NEUR,,CHGA CHGB NAMPT NUCB NXPH PENK PNOC SCG SST UBL VGF proSAAS,"EBF2, OTP, PAX7, PAX3, SLC5A7, EBF1, PENK, LHX5-AS1, AP005242.1, AC124864.2","Pons: 83.9%, Midbrain: 15.4%, Medulla: 0.5%","Human DTg: 34.1%, Human PB: 30.1%, Human PnEN: 16.2%"
382,NEUR,,ADCYAP CCK CHGA CHGB IGF NAMPT NUCB NXPH SCG SST UBL VGF proSAAS,"FST, LINC00348, CALCR, RSPO3, KCNJ5, DMRTA2, LHX5-AS1, PGM5, LHX5, FAM9B","Amygdala: 32.1%, Hypothalamus: 30.4%, Basal forebrain: 21.9%","Human BNST: 19.6%, Human SI: 14.2%, Human HTHpo: 13.5%"
383,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NUCB NXPH PTHLH SCG TAC UBL VGF proSAAS,"LMX1A, PITX2, EBF2, EBF3, AP005242.1, FOXA1, LMX1B, LINC01443, LINC01876, AC022034.3","Hypothalamus: 68.0%, Midbrain: 24.6%, Thalamus: 6.6%","Human HTHma: 35.5%, Human MN: 17.1%, Human HTHma-HTHtub: 15.2%"
384,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NTS NUCB NXPH SCG TAC UBL VGF proSAAS,"NTS, LMX1A, PITX2, LMX1B, CDH23, PANCR, GIPR, FOXA1, LINC02520, AL161908.1","Hypothalamus: 43.2%, Midbrain: 39.3%, Pons: 9.4%","Human SN: 20.0%, Human SN-RN: 17.3%, Human HTHma-HTHtub: 17.0%"
385,NEUR,,ADCYAP CART CBLN CCK CHGA CHGB NAMPT NUCB NXPH PDYN SCG SST TAC UBL VGF proSAAS,"LMX1A, LMX1B, LINC01667, CARTPT, IRX3, CRNDE, AR, TMEM255A, GABRE, IRX6","Hypothalamus: 93.4%, Midbrain: 4.5%, Amygdala: 0.8%","Human HTHma-HTHtub: 46.9%, Human HTHtub: 19.6%, Human HTHma: 9.9%"
386,NEUR,,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH SCG VGF proSAAS,"TACR3, LINC01876, AC074099.1, HOXB3, HSPD1P8, POU4F1, PGR-AS1, PGR, LINC02742, HOXA3","Medulla: 98.2%, Pons: 1.2%, Midbrain: 0.6%","Human MoRF-MoEN: 55.1%, Human MoSR: 38.9%, Human MoAN: 4.2%"
387,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NMB NPB NUCB NXPH PENK SCG UBL proSAAS,"PAX5, EBF2, LINC01798, AC090993.1, F13A1, DLK1, AC004080.1, TMEM255A, GLP1R, EBF3","Pons: 89.9%, Midbrain: 8.9%, Medulla: 0.7%","Human PB: 68.9%, Human DTg: 16.1%, Human PAG: 7.9%"
388,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NMU NUCB NXPH SCG SST UBL VGF proSAAS,"LINC01798, SCTR, LHX5-AS1, VSX2, APELA, VWA5B1, HPGD, LINC01828, LINC01799, ADCYAP1","Pons: 90.9%, Hypothalamus: 4.1%, Amygdala: 3.6%","Human PnEN: 81.7%, Human PnAN: 4.6%, Human DTg: 4.1%"
389,NEUR,,CBLN CCK CHGA CHGB NAMPT NUCB NXPH PNOC SCG SST TAC UBL VGF proSAAS,"NMB, GATA3, AL121974.1, IRX2, CALCR, GATA2, TACR3, TRPM8, VWA5B1, LMO1","Pons: 67.3%, Midbrain: 29.6%, Thalamus: 2.4%","Human PnEN: 56.0%, Human PAG: 12.6%, Human DTg: 9.7%"
390,NEUR,,CBLN CCK CHGA CHGB NAMPT NMB NPB NPPC NUCB NXPH PNOC SCG SST UBL VGF proSAAS,"ECEL1, SST, LINC00540, PAX6, DLK1, ARHGAP36, EGFL6, GPC3, LHX1, SIX3","Thalamus: 81.4%, Amygdala: 5.6%, Pons: 5.3%","Human LG: 42.0%, Human ANC: 34.7%, Human BNST: 5.4%"
391,NEUR,,AVP CHGA CHGB NAMPT NUCB NXPH SCG UBL proSAAS,"SFRP1, AVP, PDGFD, AL158013.1, EGFL6, ABI3BP, GBX1, NFIA-AS2, AC008415.1, LINC01938","Hypothalamus: 92.3%, Thalamus: 3.3%, Midbrain: 2.8%","Human HTHpo-HTHso: 48.5%, Human HTHma-HTHtub: 13.7%, Human HTHma: 12.2%"
392,NEUR,,CHGA CHGB IGF NAMPT NUCB NXPH PENK SCG SST UBL UCN VGF proSAAS,"LHX8, GBX1, FGF10-AS1, FGF10, STAC, LHX6, DIAPH3, ELFN1, LINC00886, ASAH2","Amygdala: 39.6%, Basal forebrain: 32.7%, Hypothalamus: 21.2%","Human BNST: 24.0%, Human SI: 17.5%, Human HTHpo: 11.4%"
393,NEUR,,CBLN CHGA CHGB IGF NAMPT NMU NUCB NXPH PNOC SCG SST UBL VGF proSAAS,"AC006065.4, ISL1, LINC00943, LINC02058, SST, AC010478.1, SIX3, AC093298.2, COL8A1, INHBB","Thalamus: 76.5%, Hypothalamus: 10.6%, Midbrain: 6.0%","Human ANC: 35.5%, Human VLN: 13.9%, Human LG: 9.9%"
394,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NMB NPB NUCB NXPH SCG TAC UBL VGF proSAAS,"NPS, LINC01798, IRX4, SLC5A7, LHX9, AC006296.3, AC074099.1, IRX2, LINC01876, TH","Pons: 92.2%, Midbrain: 6.7%, Medulla: 0.5%","Human PB: 78.3%, Human DTg: 10.3%, Human PAG: 4.6%"
395,NEUR,,CALCB CBLN CCK CHGA CHGB GRP IGF NAMPT NMB NPB NUCB NXPH SCG TAC UBL proSAAS,"SLC6A3, LINC01956, TH, EN1, SLC18A2, LMX1B, SLC18A1, LMX1A, LINC00261, ASB4","Midbrain: 92.6%, Hypothalamus: 6.5%, Thalamus: 0.7%","Human SN-RN: 58.2%, Human SN: 19.2%, Human PAG-DR: 6.2%"
396,NEUR,,ADCYAP CBLN CHGA CHGB NAMPT NUCB NXPH PENK SCG SST TAC UBL VGF proSAAS,"LMX1B, FEV, TPH2, SLC17A8, RLN3, GATA3, LINC01956, SLC6A4, GATA2, VWA5B1","Pons: 66.2%, Midbrain: 31.2%, Hypothalamus: 1.2%","Human DTg: 32.0%, Human PnEN: 26.2%, Human PAG: 17.4%"
397,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NMB NPB NUCB NXPH SCG TAC UBL VGF proSAAS,"TPH2, SLC6A4, FEV, SLC18A2, LMX1B, DDC, GATA3, NDNF, VWA5B1, AMIGO2","Pons: 80.1%, Medulla: 8.1%, Midbrain: 7.6%","Human PnRF: 26.5%, Human PnEN: 26.2%, Human DTg: 23.2%"
398,NEUR,,ADCYAP CART CBLN CCK CHGA CHGB GAL NAMPT NUCB NXPH SCG TAC UBL VGF proSAAS,"PHOX2B-AS1, PHOX2B, LINC00682, HOXB3, SLC5A7, SLC6A2, GAL, TH, PHOX2A, HOTAIRM1","Medulla: 86.6%, Pons: 12.8%, Midbrain: 0.2%","Human MoRF-MoEN: 40.5%, Human MoAN: 37.3%, Human MoSR: 8.9%"
399,NEUR,,ADCYAP CART CHGA CHGB GAL NAMPT NPFF NUCB NXPH SCG TAC TRH UBL VGF proSAAS,"PHOX2B-AS1, PHOX2B, TFAP2B, C5orf58, NPFF, LINC00682, HOXB3, LMX1B, DBH, RP1","Medulla: 99.3%, Pons: 0.5%, Cerebral cortex: 0.1%","Human MoAN: 42.7%, Human MoRF-MoEN: 36.3%, Human MoSR: 20.3%"
400,NEUR,,CHGA CHGB GNRH IGF NAMPT NPPC NUCB PENK SCG UBL VGF proSAAS,"SLC5A7, LHX8, CHAT, NTRK1, ECEL1, ISL1, AC091576.1, INSRR, OR8A1, CNBD1","Basal forebrain: 54.0%, Amygdala: 22.9%, Hypothalamus: 14.7%","Human SI: 18.9%, Human BNST: 13.9%, Human HTHpo: 11.7%"
401,NEUR,,CCK CHGB proSAAS,"FST, SOX11, AC087516.2, BHLHE22, AL138826.1, LINC01163, SOX4, AC012409.2, AC112236.1, GPC2","Hippocampus: 76.2%, Amygdala: 19.4%, Cerebral cortex: 4.4%","Human CA1U-CA2U-CA3U: 73.9%, Human BL: 8.9%, Human CMN: 7.1%"
402,NEUR,,AVP CHGA CHGB NAMPT NUCB SCG SST UBL VGF proSAAS,"C14orf39, LMNTD1, AC004704.1, OTP, ISL1, P2RX2, LINC01920, FAM238B, AC010478.1, SLC10A4","Midbrain: 58.2%, Hypothalamus: 41.6%, Amygdala: 0.1%","Human SN: 58.2%, Human HTHtub: 19.4%, Human HTHso-HTHtub: 19.2%"
403,NEUR,,CCK CHGB CORT NAMPT NUCB NXPH PENK SCG TAC VGF proSAAS,"FRMD7, TRDN, AC007422.1, KANK3, CACNG5, SP8, ROR2, LINC01812, LINC01411, SCGN","Cerebral cortex: 45.6%, Amygdala: 33.5%, Hypothalamus: 9.8%","Human AON: 25.7%, Human CoA: 18.1%, Human Pir: 14.1%"
404,NEUR,,CBLN CCK CHGA CHGB IGF NAMPT NUCB NXPH SCG SST TAC VGF proSAAS,"AC016687.2, AC021134.1, LINC02378, LINC02263, LINC01915, CXCL14, AL033539.2, AC004862.1, AC073578.2, LINC02306","Cerebral cortex: 94.4%, Amygdala: 2.5%, Basal forebrain: 1.2%","Human A14: 60.0%, Human M1C: 11.2%, Human A43: 3.2%"
405,NEUR,,CBLN CCK CHGA CHGB NAMPT NUCB SCG TAC UBL VGF proSAAS,"ROR2, TACR3, AC022523.1, AC020704.1, WDR86, AC025470.2, AL136119.1, NFIA-AS2, RXFP2, AC087516.2","Cerebral cortex: 41.9%, Hypothalamus: 27.8%, Amygdala: 27.3%","Human AON: 31.1%, Human HTHso: 26.6%, Human CoA: 12.2%"
406,NEUR,,ADCYAP CART CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC UBL UCN VGF proSAAS,"RXFP2, AC112178.1, SCUBE1, FBXL21P, TFAP2D, IRAG2, AC109439.1, PLEKHG4B, CARTPT, NDST4","Amygdala: 50.5%, Cerebral cortex: 46.9%, Hypothalamus: 2.4%","Human Pir: 27.1%, Human A35-A36: 18.8%, Human CoA: 17.9%"
407,NEUR,,CART CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC UBL VGF proSAAS,"TFAP2C, PAPPA2, CARTPT, BARHL2, LINC01798, MEIS1-AS3, AC006065.4, LHX9, GALR1, POU2F3","Amygdala: 72.6%, Cerebral cortex: 23.5%, Hippocampus: 2.7%","Human CEN: 31.1%, Human CMN: 27.2%, Human A35-A36: 18.1%"
408,NEUR,,ADCYAP CART CBLN CCK CHGA CHGB IGF NAMPT NUCB NXPH SCG VGF proSAAS,"EOMES, RXFP2, CDHR1, CARTPT, LINC01866, LINC01965, SHISA3, LGR6, AKAIN1, LINC01621","Cerebral cortex: 82.2%, Amygdala: 13.3%, Hypothalamus: 4.4%","Human AON: 77.8%, Human CoA: 8.9%, Human Pir: 4.4%"
409,NEUR,,CALCB CBLN CHGA CHGB NAMPT NUCB NXPH SCG SST TAC TRH UBL proSAAS,"GLP1R, CRABP1, CER1, TAC3, AL096799.1, TRH, LINC02203, NANOS1, NPR3, CHRNA3","Basal forebrain: 66.5%, Amygdala: 14.2%, Thalamus: 9.9%","Human CaB: 17.8%, Human SI: 13.0%, Human NAC: 11.5%"
410,NEUR,,AVP CART CBLN CHGA CHGB CRH HCRT NAMPT NMB NPB NUCB OXT PENK SCG SST TRH UBL VGF proSAAS,"AVP, OXT, HCRT, SIM1, OTP, TRH, CARTPT, TH, AC092675.1, PGF","Hypothalamus: 82.0%, Thalamus: 11.6%, Amygdala: 5.2%","Human HTHpo-HTHso: 58.9%, Human HTHtub: 15.3%, Human ANC: 11.5%"
411,NEUR,,AVP CBLN CCK CHGA CHGB GRP NAMPT NPY NUCB NXPH PDYN SCG UBL VGF proSAAS,"PPP1R17, GABRE, ECEL1, LHX5-AS1, PRDM13, RERGL, RADX, KC877982.1, PIK3C2G, SLITRK6","Hypothalamus: 99.2%, Amygdala: 0.2%, Midbrain: 0.2%","Human HTHma-HTHtub: 37.3%, Human HTHpo-HTHso: 36.7%, Human MN: 10.8%"
412,NEUR,,CBLN CHGA CHGB NAMPT NUCB NXPH SCG SST TAC UBL VGF proSAAS,"PMCH, AC022433.1, ISL1, TBX3, AC010478.1, C14orf39, AC026765.3, GAL, VWA5B1, RADX","Hypothalamus: 97.4%, Midbrain: 2.2%, Thalamus: 0.3%","Human MN: 45.2%, Human HTHma-HTHtub: 26.3%, Human HTHtub: 14.1%"
413,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NTS NUCB NXPH SCG UBL proSAAS,"SIM1, PITX2, EBF3, AL158013.1, LHX1-DT, NTS, LHX1, ADGRG4, PANCR, FOXB1","Hypothalamus: 92.1%, Midbrain: 5.8%, Pons: 1.4%","Human MN: 38.6%, Human HTHma-HTHtub: 21.6%, Human HTHma: 18.2%"
414,NEUR,,ADCYAP CBLN CCK CHGA CHGB NAMPT NMB NPB NUCB NXPH PENK SCG SST TAC UBL VGF proSAAS,"SIM1, OTP, METTL11B, EBF3, LINC02505, AL110292.1, STK32B, LHX5-AS1, AL132857.1, AL158013.1","Hypothalamus: 90.6%, Midbrain: 8.5%, Thalamus: 0.8%","Human HTHma-HTHtub: 43.2%, Human MN: 14.9%, Human HTHma: 13.8%"
415,NEUR,,AVP CHGA CHGB NAMPT NUCB NXPH SCG UBL VGF proSAAS,"AVP, ECEL1, ARHGAP36, C14orf39, HMX3, ISL1, SIX6, DIRAS3, PMCH, ZCCHC12","Hypothalamus: 78.7%, Midbrain: 7.6%, Thalamus: 3.7%","Human HTHpo-HTHso: 30.8%, Human HTHso-HTHtub: 26.6%, Human HTHtub: 7.5%"
416,NEUR,,AVP CHGA CHGB GAL NAMPT NTS NUCB NXPH PENK PNOC SCG UBL VGF proSAAS,"GAL, HMX3, ECEL1, ISL1, ARHGAP36, DLK1, HMX2, DIRAS3, AC010478.1, C14orf39","Hypothalamus: 65.4%, Thalamus: 17.9%, Amygdala: 8.1%","Human HTHso-HTHtub: 19.1%, Human ANC: 17.7%, Human HTHpo: 16.0%"
417,NEUR,,AVP CBLN CHGA CHGB GAL NAMPT NUCB SCG SST UBL VGF proSAAS,"GHRH, OTP, CALCR, ECEL1, DLK1, C14orf39, ISL1, GAL, GABRE, SIX6","Hypothalamus: 95.8%, Midbrain: 4.0%, Amygdala: 0.1%","Human HTHtub: 32.3%, Human HTHso-HTHtub: 31.4%, Human HTHma-HTHtub: 26.7%"
418,NEUR,,ADCYAP AVP CART CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG SST UBL VGF proSAAS,"FEZF1, FEZF1-AS1, PGR, LINC00540, DGKK, ZCCHC12, PRLR, PGR-AS1, SYTL4, ANKRD34B","Hypothalamus: 99.3%, Midbrain: 0.5%, Thalamus: 0.1%","Human HTHso-HTHtub: 52.0%, Human HTHtub: 32.9%, Human HTHma-HTHtub: 10.3%"
419,NEUR,,ADCYAP CART CCK CHGA CHGB NAMPT NUCB NXPH SCG UBL VGF proSAAS,"AC025244.1, AC096759.1, SCN5A, FAM9B, GABRQ, LINC01920, VWA5B1, CYP19A1, CARM1P1, LINC02498","Amygdala: 78.9%, Cerebral cortex: 14.0%, Thalamus: 5.1%","Human CMN: 29.0%, Human BM: 24.6%, Human CEN: 18.4%"
420,NEUR,,ADCYAP AVP CART CBLN CCK CHGA CHGB NAMPT NUCB NXPH SCG TAC TRH UBL VGF proSAAS,"OTP, SIM1, ARHGAP36, GABRQ, IGSF1, FEZF1, FEZF1-AS1, AC012078.2, CALCR, AL591463.1","Thalamus: 46.3%, Hypothalamus: 26.8%, Amygdala: 24.7%","Human ANC: 45.1%, Human BNST: 19.3%, Human HTHpo-HTHso: 17.0%"
421,NEUR,,AVP CBLN CHGA CHGB NAMPT NTS NUCB NXPH OXT PNOC SCG TAC UBL VGF proSAAS,"ECEL1, FAM9B, TMEM114, ARHGAP36, AL035425.2, PGR, DGKK, ESR1, DIRAS3, PGR-AS1","Hypothalamus: 64.1%, Amygdala: 19.7%, Thalamus: 14.8%","Human HTHpo: 29.3%, Human HTHso-HTHtub: 19.3%, Human BNST: 16.3%"
422,NEUR,,AVP CCK CHGA CHGB NAMPT NUCB NXPH SCG SST TAC UBL VGF proSAAS,"CALCR, LHX8, TMEM255A, DGKK, AL110292.1, ARHGAP36, GABRE, ONECUT3, STK26, LINC00540","Hypothalamus: 44.2%, Amygdala: 23.2%, Thalamus: 20.2%","Human BNST: 22.3%, Human ANC: 20.1%, Human HTHpo: 19.8%"
423,NEUR,INT-LAMP5,CART CCK CHGA CHGB IGF NAMPT NUCB NXPH PENK SCG SST UBL VGF proSAAS,"CYP19A1, SCN5A, DGKK, GABRQ, ARHGAP36, DIRAS3, NTS, FBXL21P, AL035425.2, VWA5B1","Amygdala: 50.6%, Thalamus: 19.8%, Hypothalamus: 15.4%","Human ANC: 19.2%, Human CEN: 17.4%, Human CMN: 13.8%"
424,NEUR,,AVP CBLN CCK CHGA CHGB NAMPT NUCB NXPH PNOC SCG SST TAC UBL VGF proSAAS,"CYP19A1, CALCR, ARHGAP36, DGKK, GABRE, SCN5A, GABRQ, TMEM255A, LHX6, RADX","Amygdala: 34.9%, Hypothalamus: 32.8%, Thalamus: 29.6%","Human ANC: 29.4%, Human BNST: 16.9%, Human HTHpo-HTHso: 15.5%"
425,NEUR,,AVP CCK CHGA CHGB NAMPT NPY NUCB NXPH SCG SST UBL VGF proSAAS,"SLC7A3, SHISAL2B, ARHGAP36, GABRQ, DGKK, NPY, CYP19A1, ECEL1, CALCR, CITED1","Thalamus: 35.4%, Hypothalamus: 29.5%, Amygdala: 29.1%","Human ANC: 34.9%, Human BNST: 23.4%, Human HTHpo-HTHso: 16.4%"
426,NEUR,MSN-D1,CCK CHGA CHGB NAMPT NUCB NXPH PENK SCG SST TAC UBL VGF proSAAS,"LINC01497, NPFFR2, DGKK, PAX6, SCN5A, EYA2, AL161629.1, LINC01305, NPNT, AL592156.1","Amygdala: 81.9%, Cerebral cortex: 10.0%, Thalamus: 3.2%","Human CEN: 36.3%, Human CMN: 31.4%, Human BM: 8.7%"
427,NEUR,MSN-D1,CART CCK CHGA CHGB NAMPT NUCB NXPH SCG SST TAC UBL VGF proSAAS,"AC022433.1, ISL1, AC010478.1, SCML4, GPR101, GABRG1, AC096759.1, TMEM215, AC025244.1, SCN5A","Amygdala: 56.6%, Hypothalamus: 19.3%, Thalamus: 14.0%","Human BNST: 46.5%, Human ANC: 13.2%, Human HTHpo: 9.9%"
428,NEUR,,CBLN CCK CHGA CHGB NAMPT NUCB NXPH PNOC SCG UBL VGF proSAAS,"FREM2, AC092958.2, SCGN, AC092957.1, ZIC2, LHX8, PRDM12, PRDM16, ZIC5, TTR","Basal forebrain: 59.7%, Amygdala: 16.1%, Hypothalamus: 13.8%","Human SEP: 55.1%, Human BNST: 12.4%, Human ANC: 5.7%"
429,NEUR,,CHGA CHGB NAMPT NUCB NXPH PNOC SCG UBL VGF proSAAS,"PRDM16, FREM2, TTR, PRDM16-DT, AC092957.1, ZIC2, SCN5A, Z96074.1, C14orf39, ZIC5","Basal forebrain: 55.9%, Amygdala: 24.1%, Thalamus: 12.9%","Human SEP: 48.3%, Human BNST: 23.8%, Human ANC: 12.9%"
430,NEUR,,CART CCK CHGA CHGB NAMPT NUCB PENK SCG SST UBL VGF proSAAS,"FREM2, IQGAP2, P2RY1, PENK, TRHR, GABRG1, ANKRD34B, TMEM215, LINC01305, FREM2-AS1","Amygdala: 87.9%, Hypothalamus: 6.5%, Thalamus: 3.4%","Human CEN: 41.5%, Human BM: 23.7%, Human BNST: 19.7%"
431,NEUR,,CART CBLN CHGA CHGB KISS NAMPT NPPC NUCB NXPH PENK POMC SCG TAC UBL VGF proSAAS,"PGR, TBX3, PGR-AS1, AC004870.4, AC026765.3, CALCR, POMC, NR5A2, ESR1, C14orf39","Hypothalamus: 99.7%, Midbrain: 0.2%, Cerebral cortex: 0.0%","Human MN: 57.0%, Human HTHma-HTHtub: 14.2%, Human HTHso-HTHtub: 13.8%"
432,NEUR,,CBLN CHGA CHGB NAMPT NMB NPB NUCB NXPH SCG SST UBL VGF proSAAS,"HDC, MIR3663HG, LINC02789, SLC18A2, TECRL, QRFPR, TBX3, PPP1R1C, GMNC, AC022433.1","Hypothalamus: 79.8%, Midbrain: 19.6%, Thalamus: 0.6%","Human HTHma-HTHtub: 31.5%, Human SN: 19.6%, Human HTHtub: 19.5%"
433,NEUR,,CHGA CHGB IGF NAMPT NPPC NUCB NXPH SCG TAC UBL proSAAS,"OTX2, LINC01210, OTX2-AS1, AL137100.3, AL161757.4, CHODL, PRSS12, AL109761.1, GALR1, SOX14","Midbrain: 89.4%, Thalamus: 8.3%, Hypothalamus: 1.3%","Human SC: 51.7%, Human PTR: 13.8%, Human IC: 9.1%"
434,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH SCG UBL VGF proSAAS,"NPSR1, CASR, LINC01210, OTX2, AL161757.4, SOX14, DMBX1, AL137100.3, NPPC, AL133493.1","Thalamus: 89.3%, Midbrain: 8.9%, Pons: 1.3%","Human VLN: 16.5%, Human LG: 15.2%, Human LP: 14.1%"
435,NEUR,,CBLN CHGA CHGB IGF NAMPT NPPC NUCB NXPH SCG TAC UBL proSAAS,"NPSR1, LINC01210, CASR, SOX14, OTX2, OTX2-AS1, AC007159.1, DMBX1, GATA3, AL161757.4","Midbrain: 54.9%, Thalamus: 43.2%, Pons: 0.8%","Human SN-RN: 24.2%, Human CM-Pf: 13.1%, Human PAG: 7.4%"
